19:39:46.277802 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49861: Flags [S.], seq 2247551054, ack 3405471922, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 16210700 ecr 20886963], length 0
19:39:46.732748 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49862: Flags [S.], seq 3680017251, ack 1463390141, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252127126 ecr 20887076], length 0
19:39:47.164386 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49863: Flags [S.], seq 87263452, ack 4036938670, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250794405 ecr 20887184], length 0
19:39:47.627438 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49864: Flags [S.], seq 3411297414, ack 130676233, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250074132 ecr 20887300], length 0
19:39:48.108554 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49865: Flags [S.], seq 753615292, ack 2094635951, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255999616 ecr 20887420], length 0
19:39:48.566527 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49866: Flags [S.], seq 1246550351, ack 3966222327, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255275473 ecr 20887535], length 0
19:39:49.016042 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49867: Flags [S.], seq 1088125599, ack 412049630, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250062315 ecr 20887647], length 0
19:39:49.484339 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49868: Flags [S.], seq 3244021192, ack 934633814, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250072987 ecr 20887764], length 0
19:39:49.908228 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49869: Flags [S.], seq 2210769905, ack 3511565576, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 21148582 ecr 20887870], length 0
19:39:50.420766 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49870: Flags [S.], seq 831435588, ack 687644152, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254411691 ecr 20887998], length 0
19:39:50.962816 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49871: Flags [S.], seq 1830721071, ack 3450332945, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255223391 ecr 20888134], length 0
19:39:51.502518 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49872: Flags [S.], seq 1197428536, ack 2431059580, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 15061486 ecr 20888269], length 0
19:39:52.054564 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49873: Flags [S.], seq 735349368, ack 3246712250, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249374077 ecr 20888407], length 0
19:39:52.587600 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49874: Flags [S.], seq 1155429427, ack 2725769514, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249380134 ecr 20888540], length 0
19:39:53.094368 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49875: Flags [S.], seq 3295261343, ack 4205469719, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252962194 ecr 20888667], length 0
19:39:53.597653 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49876: Flags [S.], seq 3196935846, ack 882874834, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248505781 ecr 20888793], length 0
19:39:54.110450 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49877: Flags [S.], seq 1288122235, ack 137843293, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 6679549 ecr 20888921], length 0
19:39:54.632016 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49878: Flags [S.], seq 173194975, ack 2252400190, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251487578 ecr 20889051], length 0
19:39:55.162876 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49879: Flags [S.], seq 1963946787, ack 4168544828, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248523599 ecr 20889184], length 0
19:39:55.746992 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49880: Flags [S.], seq 2039993836, ack 3918156463, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 21574453 ecr 20889330], length 0
19:39:56.271172 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49881: Flags [S.], seq 830699969, ack 92715861, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239290720 ecr 20889461], length 0
19:39:56.862169 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49882: Flags [S.], seq 2451842169, ack 3627974879, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250061302 ecr 20889609], length 0
19:39:57.369748 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49883: Flags [S.], seq 3742175302, ack 1948831436, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 75867286 ecr 20889736], length 0
