PING 13.65.92.139 (13.65.92.139) 56(84) bytes of data.
64 bytes from 13.65.92.139: icmp_seq=332 ttl=57 time=0.503 ms
64 bytes from 13.65.92.139: icmp_seq=333 ttl=57 time=0.719 ms
64 bytes from 13.65.92.139: icmp_seq=334 ttl=57 time=0.590 ms
64 bytes from 13.65.92.139: icmp_seq=335 ttl=57 time=0.516 ms
64 bytes from 13.65.92.139: icmp_seq=336 ttl=57 time=0.508 ms
64 bytes from 13.65.92.139: icmp_seq=337 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=338 ttl=57 time=0.411 ms
64 bytes from 13.65.92.139: icmp_seq=339 ttl=57 time=0.380 ms
64 bytes from 13.65.92.139: icmp_seq=340 ttl=57 time=0.481 ms
64 bytes from 13.65.92.139: icmp_seq=341 ttl=57 time=0.414 ms
64 bytes from 13.65.92.139: icmp_seq=342 ttl=57 time=0.412 ms
64 bytes from 13.65.92.139: icmp_seq=343 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=344 ttl=57 time=0.413 ms
64 bytes from 13.65.92.139: icmp_seq=345 ttl=57 time=0.374 ms
64 bytes from 13.65.92.139: icmp_seq=346 ttl=57 time=0.382 ms
64 bytes from 13.65.92.139: icmp_seq=347 ttl=57 time=0.384 ms
64 bytes from 13.65.92.139: icmp_seq=348 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=349 ttl=57 time=0.385 ms
64 bytes from 13.65.92.139: icmp_seq=350 ttl=57 time=0.406 ms
64 bytes from 13.65.92.139: icmp_seq=351 ttl=57 time=0.368 ms
64 bytes from 13.65.92.139: icmp_seq=352 ttl=57 time=0.394 ms
64 bytes from 13.65.92.139: icmp_seq=353 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=354 ttl=57 time=0.399 ms
