PING 13.66.225.134 (13.66.225.134) 56(84) bytes of data.
64 bytes from 13.66.225.134: icmp_seq=296 ttl=59 time=0.797 ms
64 bytes from 13.66.225.134: icmp_seq=297 ttl=59 time=1.66 ms
64 bytes from 13.66.225.134: icmp_seq=298 ttl=59 time=0.570 ms
64 bytes from 13.66.225.134: icmp_seq=299 ttl=59 time=0.591 ms
64 bytes from 13.66.225.134: icmp_seq=300 ttl=59 time=0.637 ms
64 bytes from 13.66.225.134: icmp_seq=301 ttl=59 time=0.412 ms
64 bytes from 13.66.225.134: icmp_seq=302 ttl=59 time=0.866 ms
64 bytes from 13.66.225.134: icmp_seq=303 ttl=59 time=0.962 ms
64 bytes from 13.66.225.134: icmp_seq=304 ttl=59 time=0.564 ms
64 bytes from 13.66.225.134: icmp_seq=305 ttl=59 time=1.00 ms
64 bytes from 13.66.225.134: icmp_seq=306 ttl=59 time=0.613 ms
64 bytes from 13.66.225.134: icmp_seq=307 ttl=59 time=0.422 ms
64 bytes from 13.66.225.134: icmp_seq=308 ttl=59 time=0.782 ms
64 bytes from 13.66.225.134: icmp_seq=309 ttl=59 time=0.948 ms
64 bytes from 13.66.225.134: icmp_seq=310 ttl=59 time=0.918 ms
64 bytes from 13.66.225.134: icmp_seq=311 ttl=59 time=1.51 ms
64 bytes from 13.66.225.134: icmp_seq=312 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=313 ttl=59 time=0.966 ms
64 bytes from 13.66.225.134: icmp_seq=314 ttl=59 time=0.849 ms
64 bytes from 13.66.225.134: icmp_seq=315 ttl=59 time=0.443 ms
64 bytes from 13.66.225.134: icmp_seq=316 ttl=59 time=0.401 ms
64 bytes from 13.66.225.134: icmp_seq=317 ttl=59 time=0.316 ms
64 bytes from 13.66.225.134: icmp_seq=318 ttl=59 time=0.909 ms
64 bytes from 13.66.225.134: icmp_seq=319 ttl=59 time=0.801 ms
64 bytes from 13.66.225.134: icmp_seq=320 ttl=59 time=0.853 ms
64 bytes from 13.66.225.134: icmp_seq=321 ttl=59 time=0.830 ms
64 bytes from 13.66.225.134: icmp_seq=322 ttl=59 time=0.562 ms
64 bytes from 13.66.225.134: icmp_seq=323 ttl=59 time=0.442 ms
64 bytes from 13.66.225.134: icmp_seq=324 ttl=59 time=0.874 ms
64 bytes from 13.66.225.134: icmp_seq=325 ttl=59 time=1.00 ms
64 bytes from 13.66.225.134: icmp_seq=326 ttl=59 time=0.610 ms
64 bytes from 13.66.225.134: icmp_seq=327 ttl=59 time=0.259 ms
64 bytes from 13.66.225.134: icmp_seq=328 ttl=59 time=0.432 ms
64 bytes from 13.66.225.134: icmp_seq=329 ttl=59 time=0.247 ms
64 bytes from 13.66.225.134: icmp_seq=330 ttl=59 time=0.555 ms
64 bytes from 13.66.225.134: icmp_seq=331 ttl=59 time=1.08 ms
64 bytes from 13.66.225.134: icmp_seq=332 ttl=59 time=1.04 ms
64 bytes from 13.66.225.134: icmp_seq=333 ttl=59 time=0.819 ms
64 bytes from 13.66.225.134: icmp_seq=334 ttl=59 time=1.28 ms
64 bytes from 13.66.225.134: icmp_seq=335 ttl=59 time=0.820 ms
64 bytes from 13.66.225.134: icmp_seq=336 ttl=59 time=1.52 ms
64 bytes from 13.66.225.134: icmp_seq=337 ttl=59 time=0.869 ms
64 bytes from 13.66.225.134: icmp_seq=338 ttl=59 time=1.14 ms
64 bytes from 13.66.225.134: icmp_seq=339 ttl=59 time=0.992 ms
64 bytes from 13.66.225.134: icmp_seq=340 ttl=59 time=0.451 ms
64 bytes from 13.66.225.134: icmp_seq=341 ttl=59 time=1.11 ms
64 bytes from 13.66.225.134: icmp_seq=342 ttl=59 time=0.474 ms
64 bytes from 13.66.225.134: icmp_seq=343 ttl=59 time=0.443 ms
64 bytes from 13.66.225.134: icmp_seq=344 ttl=59 time=0.977 ms
64 bytes from 13.66.225.134: icmp_seq=345 ttl=59 time=0.453 ms
64 bytes from 13.66.225.134: icmp_seq=346 ttl=59 time=1.35 ms
64 bytes from 13.66.225.134: icmp_seq=347 ttl=59 time=0.593 ms
64 bytes from 13.66.225.134: icmp_seq=348 ttl=59 time=0.395 ms
64 bytes from 13.66.225.134: icmp_seq=349 ttl=59 time=0.417 ms
64 bytes from 13.66.225.134: icmp_seq=350 ttl=59 time=0.956 ms
64 bytes from 13.66.225.134: icmp_seq=351 ttl=59 time=0.622 ms
64 bytes from 13.66.225.134: icmp_seq=352 ttl=59 time=0.695 ms
64 bytes from 13.66.225.134: icmp_seq=353 ttl=59 time=1.10 ms
64 bytes from 13.66.225.134: icmp_seq=354 ttl=59 time=1.06 ms
